evaluation,precision,recall,accuracy,f1_score,log_loss,roc_auc,brier_score
noURL,0.9704142011834319,0.984,0.9761101012723968,0.9771598808341608,0.10872191334713478,0.9945559157212318,0.022020254479356006
URL_Q=0,0.9972329828444937,0.901,0.94925,0.9466771736275282,0.27907220863051563,0.9807511250000001,0.04934605
URL_Q=100,0.998003992015968,1.0,0.999,0.999000999000999,0.13589443018859754,0.996703,0.005023125
URL_Q=25,0.998003992015968,1.0,0.999,0.999000999000999,0.8044067247777502,0.9619745,0.023746299999999994
URL_Q=50,0.998003992015968,1.0,0.999,0.999000999000999,0.7532244976380248,0.968438,0.022196574999999996
URL_Q=75,0.998003992015968,1.0,0.999,0.999000999000999,0.2539527796470977,0.99150325,0.008283749999999998
